[0.000000] (-) TimerEvent: {}
[0.001106] (-) JobUnselected: {'identifier': 'ur'}
[0.001302] (-) JobUnselected: {'identifier': 'ur5_kdl_ik'}
[0.001350] (-) JobUnselected: {'identifier': 'ur_calibration'}
[0.001450] (-) JobUnselected: {'identifier': 'ur_controllers'}
[0.003225] (-) JobUnselected: {'identifier': 'ur_dashboard_msgs'}
[0.003283] (-) JobUnselected: {'identifier': 'ur_robot_driver'}
[0.003389] (ur_description) JobQueued: {'identifier': 'ur_description', 'dependencies': OrderedDict()}
[0.143475] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3/visual/forearm.dae\n'}
[0.143925] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3/visual/shoulder.dae\n'}
[0.144334] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3/visual/upperarm.dae\n'}
[0.144805] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3/visual/wrist1.dae\n'}
[0.145261] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3/visual/wrist2.dae\n'}
[0.145702] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3/visual/wrist3.dae\n'}
[0.146128] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur30/LICENSE.txt\n'}
[0.146538] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur30/collision/forearm.stl\n'}
[0.146961] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur30/collision/upperarm.stl\n'}
[0.147401] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur30/visual/UR30_DIFF_8bit_2K.png\n'}
[0.148053] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur30/visual/forearm.dae\n'}
[0.148500] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur30/visual/upperarm.dae\n'}
[0.148950] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3e/collision/base.stl\n'}
[0.149443] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3e/collision/forearm.stl\n'}
[0.149922] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3e/collision/shoulder.stl\n'}
[0.150366] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3e/collision/upperarm.stl\n'}
[0.150864] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3e/collision/wrist1.stl\n'}
[0.151383] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3e/collision/wrist2.stl\n'}
[0.151954] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3e/collision/wrist3.stl\n'}
[0.152424] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3e/visual/base.dae\n'}
[0.153013] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3e/visual/forearm.dae\n'}
[0.153449] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3e/visual/shoulder.dae\n'}
[0.153913] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3e/visual/upperarm.dae\n'}
[0.154371] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3e/visual/wrist1.dae\n'}
[0.154796] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3e/visual/wrist2.dae\n'}
[0.155219] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur3e/visual/wrist3.dae\n'}
[0.155684] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5/collision/base.stl\n'}
[0.156141] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5/collision/forearm.stl\n'}
[0.156583] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5/collision/shoulder.stl\n'}
[0.157052] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5/collision/upperarm.stl\n'}
[0.157520] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5/collision/wrist1.stl\n'}
[0.157936] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5/collision/wrist2.stl\n'}
[0.158341] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5/collision/wrist3.stl\n'}
[0.158943] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5/visual/base.dae\n'}
[0.159350] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5/visual/forearm.dae\n'}
[0.159746] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5/visual/shoulder.dae\n'}
[0.160208] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5/visual/upperarm.dae\n'}
[0.160642] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5/visual/wrist1.dae\n'}
[0.161094] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5/visual/wrist2.dae\n'}
[0.161527] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5/visual/wrist3.dae\n'}
[0.161933] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5e/collision/base.stl\n'}
[0.162350] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5e/collision/forearm.stl\n'}
[0.162908] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5e/collision/shoulder.stl\n'}
[0.163535] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5e/collision/upperarm.stl\n'}
[0.163946] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5e/collision/wrist1.stl\n'}
[0.164412] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5e/collision/wrist2.stl\n'}
[0.164898] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5e/collision/wrist3.stl\n'}
[0.165319] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5e/visual/base.dae\n'}
[0.165802] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5e/visual/forearm.dae\n'}
[0.166258] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5e/visual/shoulder.dae\n'}
[0.166719] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5e/visual/upperarm.dae\n'}
[0.167146] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5e/visual/wrist1.dae\n'}
[0.167596] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5e/visual/wrist2.dae\n'}
[0.168042] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur5e/visual/wrist3.dae\n'}
[0.168498] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur8long/LICENSE.txt\n'}
[0.169073] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur8long/collision/forearm.stl\n'}
[0.169544] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur8long/collision/upperarm.stl\n'}
[0.169980] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur8long/visual/UR8Long_DIFF_8bit_2K.jpg\n'}
[0.170425] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur8long/visual/forearm.dae\n'}
[0.170887] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/meshes/ur8long/visual/upperarm.dae\n'}
[0.171770] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/rviz/view_robot.rviz\n'}
[0.173462] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/urdf/inc/ur_common.xacro\n'}
[0.173942] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/urdf/inc/ur_joint_control.xacro\n'}
[0.174416] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/urdf/inc/ur_sensors.xacro\n'}
[0.174844] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/urdf/inc/ur_transmissions.xacro\n'}
[0.175390] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/urdf/ros2_control_mock_hardware.xacro\n'}
[0.175825] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/urdf/ur.urdf.xacro\n'}
[0.176255] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/urdf/ur_macro.xacro\n'}
[0.176705] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/urdf/ur_mocked.urdf.xacro\n'}
[0.177525] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/test/test_ur_urdf_xacro.py\n'}
[0.177901] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/test/test_view_ur_launch.py\n'}
[0.178455] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ament_index/resource_index/package_run_dependencies/ur_description\n'}
[0.178955] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ament_index/resource_index/parent_prefix_path/ur_description\n'}
[0.179366] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/environment/ament_prefix_path.sh\n'}
[0.180011] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/environment/ament_prefix_path.dsv\n'}
[0.180495] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/environment/path.sh\n'}
[0.180949] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/environment/path.dsv\n'}
[0.181376] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/local_setup.bash\n'}
[0.181841] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/local_setup.sh\n'}
[0.182285] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/local_setup.zsh\n'}
[0.182699] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/local_setup.dsv\n'}
[0.183081] (ur_description) StdoutLine: {'line': b'-- Symlinking: /workspace/ur5_ws/install/ur_description/share/ur_description/package.dsv\n'}
[0.189411] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ament_index/resource_index/packages/ur_description\n'}
[0.189851] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/cmake/ur_descriptionConfig.cmake\n'}
[0.190261] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/cmake/ur_descriptionConfig-version.cmake\n'}
[0.190697] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_description/share/ur_description/package.xml\n'}
[0.191939] (ur_description) CommandEnded: {'returncode': 0}
[0.201380] (-) TimerEvent: {}
[0.219230] (ur_description) JobEnded: {'identifier': 'ur_description', 'rc': 0}
[0.222765] (ur_moveit_config) JobStarted: {'identifier': 'ur_moveit_config'}
[0.226396] (ur_moveit_config) JobProgress: {'identifier': 'ur_moveit_config', 'progress': 'cmake'}
[0.227526] (ur_moveit_config) JobProgress: {'identifier': 'ur_moveit_config', 'progress': 'build'}
[0.228248] (ur_moveit_config) Command: {'cmd': ['/usr/bin/cmake', '--build', '/workspace/ur5_ws/build/ur_moveit_config', '--', '-j11', '-l11'], 'cwd': '/workspace/ur5_ws/build/ur_moveit_config', 'env': OrderedDict([('HOSTNAME', 'a0498151e0e9'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/opt/ros/humble/lib/aarch64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/root'), ('OLDPWD', '/workspace'), ('ROS_PYTHON_VERSION', '3'), ('ROS_DISTRO', 'humble'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('ROS_LOCALHOST_ONLY', '0'), ('PATH', '/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin'), ('LANG', 'C.UTF-8'), ('AMENT_PREFIX_PATH', '/workspace/ur5_ws/install/ur_description:/opt/ros/humble'), ('PWD', '/workspace/ur5_ws/build/ur_moveit_config'), ('LC_ALL', 'C.UTF-8'), ('PYTHONPATH', '/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('CMAKE_PREFIX_PATH', '/workspace/ur5_ws/install/ur_description:/opt/ros/humble')]), 'shell': False}
[0.255955] (ur_moveit_config) CommandEnded: {'returncode': 0}
[0.257706] (ur_moveit_config) JobProgress: {'identifier': 'ur_moveit_config', 'progress': 'install'}
[0.258016] (ur_moveit_config) Command: {'cmd': ['/usr/bin/cmake', '--install', '/workspace/ur5_ws/build/ur_moveit_config'], 'cwd': '/workspace/ur5_ws/build/ur_moveit_config', 'env': OrderedDict([('HOSTNAME', 'a0498151e0e9'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/opt/ros/humble/lib/aarch64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/root'), ('OLDPWD', '/workspace'), ('ROS_PYTHON_VERSION', '3'), ('ROS_DISTRO', 'humble'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('ROS_LOCALHOST_ONLY', '0'), ('PATH', '/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin'), ('LANG', 'C.UTF-8'), ('AMENT_PREFIX_PATH', '/workspace/ur5_ws/install/ur_description:/opt/ros/humble'), ('PWD', '/workspace/ur5_ws/build/ur_moveit_config'), ('LC_ALL', 'C.UTF-8'), ('PYTHONPATH', '/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('CMAKE_PREFIX_PATH', '/workspace/ur5_ws/install/ur_description:/opt/ros/humble')]), 'shell': False}
[0.263005] (ur_moveit_config) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.264197] (ur_moveit_config) StdoutLine: {'line': b'-- Execute custom install script\n'}
[0.264789] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ament_index/resource_index/package_run_dependencies/ur_moveit_config\n'}
[0.265321] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ament_index/resource_index/parent_prefix_path/ur_moveit_config\n'}
[0.265878] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/environment/ament_prefix_path.sh\n'}
[0.266457] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/environment/ament_prefix_path.dsv\n'}
[0.266920] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/environment/path.sh\n'}
[0.267544] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/environment/path.dsv\n'}
[0.268054] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/local_setup.bash\n'}
[0.268536] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/local_setup.sh\n'}
[0.268991] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/local_setup.zsh\n'}
[0.269447] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/local_setup.dsv\n'}
[0.269777] (ur_moveit_config) StdoutLine: {'line': b'-- Symlinking: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/package.dsv\n'}
[0.276510] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ament_index/resource_index/packages/ur_moveit_config\n'}
[0.277156] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/cmake/ur_moveit_configConfig.cmake\n'}
[0.277741] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/cmake/ur_moveit_configConfig-version.cmake\n'}
[0.278274] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/package.xml\n'}
[0.279784] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/config/chomp_planning.yaml\n'}
[0.280327] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/config/joint_limits.yaml\n'}
[0.280826] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/config/kinematics.yaml\n'}
[0.281290] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/config/moveit.rviz\n'}
[0.281786] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/config/moveit_controllers.yaml\n'}
[0.282283] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/config/ompl_planning.yaml\n'}
[0.282707] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/config/pilz_cartesian_limits.yaml\n'}
[0.283092] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/config/pilz_industrial_motion_planner_planning.yaml\n'}
[0.283591] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/config/ur_servo.yaml\n'}
[0.284398] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/launch/ur_moveit.launch.py\n'}
[0.285258] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/srdf/ur.srdf.xacro\n'}
[0.285787] (ur_moveit_config) StdoutLine: {'line': b'-- Up-to-date symlink: /workspace/ur5_ws/install/ur_moveit_config/share/ur_moveit_config/srdf/ur_macro.srdf.xacro\n'}
[0.287233] (ur_moveit_config) CommandEnded: {'returncode': 0}
[0.302238] (-) TimerEvent: {}
[0.312442] (ur_moveit_config) JobEnded: {'identifier': 'ur_moveit_config', 'rc': 0}
[0.314537] (ur5_minimal_moveit) JobStarted: {'identifier': 'ur5_minimal_moveit'}
[0.404758] (-) TimerEvent: {}
[0.505271] (-) TimerEvent: {}
[0.607495] (-) TimerEvent: {}
[0.653878] (ur5_minimal_moveit) Command: {'cmd': ['/usr/bin/python3', '-W', 'ignore:setup.py install is deprecated', '-W', 'ignore:easy_install command is deprecated', 'setup.py', 'develop', '--editable', '--build-directory', '/workspace/ur5_ws/build/ur5_minimal_moveit/build', '--no-deps', 'symlink_data'], 'cwd': '/workspace/ur5_ws/build/ur5_minimal_moveit', 'env': {'HOSTNAME': 'a0498151e0e9', 'SHLVL': '1', 'LD_LIBRARY_PATH': '/opt/ros/humble/lib/aarch64-linux-gnu:/opt/ros/humble/lib', 'HOME': '/root', 'OLDPWD': '/workspace', 'ROS_PYTHON_VERSION': '3', 'ROS_DISTRO': 'humble', '_': '/usr/bin/colcon', 'ROS_VERSION': '2', 'ROS_LOCALHOST_ONLY': '0', 'PATH': '/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin', 'LANG': 'C.UTF-8', 'AMENT_PREFIX_PATH': '/workspace/ur5_ws/install/ur_moveit_config:/workspace/ur5_ws/install/ur_description:/opt/ros/humble', 'PWD': '/workspace/ur5_ws/build/ur5_minimal_moveit', 'LC_ALL': 'C.UTF-8', 'PYTHONPATH': '/workspace/ur5_ws/build/ur5_minimal_moveit/prefix_override:/usr/lib/python3/dist-packages/colcon_core/task/python/colcon_distutils_commands:/workspace/ur5_ws/install/ur5_minimal_moveit/lib/python3.10/site-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages', 'COLCON': '1', 'CMAKE_PREFIX_PATH': '/workspace/ur5_ws/install/ur_moveit_config:/workspace/ur5_ws/install/ur_description'}, 'shell': False}
[0.708252] (-) TimerEvent: {}
[0.778654] (ur5_minimal_moveit) StdoutLine: {'line': b'running develop\n'}
[0.810147] (-) TimerEvent: {}
[0.833387] (ur5_minimal_moveit) StdoutLine: {'line': b'running egg_info\n'}
[0.834226] (ur5_minimal_moveit) StdoutLine: {'line': b'writing ur5_minimal_moveit.egg-info/PKG-INFO\n'}
[0.834760] (ur5_minimal_moveit) StdoutLine: {'line': b'writing dependency_links to ur5_minimal_moveit.egg-info/dependency_links.txt\n'}
[0.835359] (ur5_minimal_moveit) StdoutLine: {'line': b'writing entry points to ur5_minimal_moveit.egg-info/entry_points.txt\n'}
[0.835935] (ur5_minimal_moveit) StdoutLine: {'line': b'writing requirements to ur5_minimal_moveit.egg-info/requires.txt\n'}
[0.836386] (ur5_minimal_moveit) StdoutLine: {'line': b'writing top-level names to ur5_minimal_moveit.egg-info/top_level.txt\n'}
[0.839435] (ur5_minimal_moveit) StdoutLine: {'line': b"reading manifest file 'ur5_minimal_moveit.egg-info/SOURCES.txt'\n"}
[0.843634] (ur5_minimal_moveit) StdoutLine: {'line': b"writing manifest file 'ur5_minimal_moveit.egg-info/SOURCES.txt'\n"}
[0.845206] (ur5_minimal_moveit) StdoutLine: {'line': b'running build_ext\n'}
[0.846007] (ur5_minimal_moveit) StdoutLine: {'line': b'Creating /workspace/ur5_ws/install/ur5_minimal_moveit/lib/python3.10/site-packages/ur5-minimal-moveit.egg-link (link to .)\n'}
[0.849141] (ur5_minimal_moveit) StdoutLine: {'line': b'Installing fake_joint_trajectory_controller script to /workspace/ur5_ws/install/ur5_minimal_moveit/lib/ur5_minimal_moveit\n'}
[0.851326] (ur5_minimal_moveit) StdoutLine: {'line': b'\n'}
[0.852388] (ur5_minimal_moveit) StdoutLine: {'line': b'Installed /workspace/ur5_ws/build/ur5_minimal_moveit\n'}
[0.854128] (ur5_minimal_moveit) StdoutLine: {'line': b'running symlink_data\n'}
[0.875029] (ur5_minimal_moveit) CommandEnded: {'returncode': 0}
[0.895847] (ur5_minimal_moveit) JobEnded: {'identifier': 'ur5_minimal_moveit', 'rc': 0}
[0.900808] (ur5_motion_planning) JobStarted: {'identifier': 'ur5_motion_planning'}
[0.908425] (ur5_motion_planning) JobProgress: {'identifier': 'ur5_motion_planning', 'progress': 'cmake'}
[0.911279] (-) TimerEvent: {}
